Fecha,Casos,IA14,Fallecidos
2020-06-16,244328,6.938421052631578,27136
2020-06-17,244683,6.678421052631579,27136
2020-06-18,245268,6.177894736842105,27136
2020-06-19,245575,5.94,28315
2020-06-20,245938,5.691578947368421,28322
2020-06-21,246272,5.857368421052632,28323
2020-06-22,246504,6.359473684210526,28324
2020-06-23,246752,6.306315789473684,28325
2020-06-24,247086,6.445263157894736,28327
2020-06-25,247486,6.343157894736842,28330
2020-06-26,247905,6.6421052631578945,28338
2020-06-27,248469,6.733157894736841,28341
2020-06-28,248770,7.049473684210526,28343
2020-06-29,248970,7.261578947368421,28346
2020-06-30,249271,7.323157894736841,28355
2020-07-01,249659,7.314210526315789,28363
2020-07-02,250103,7.480526315789473,28368
2020-07-03,250545,7.461578947368421,28385
2020-07-06,251789,7.446842105263158,28388
2020-07-07,252130,7.427368421052631,28392
2020-07-08,252513,7.436315789473684,28396
2020-07-09,253056,7.6126315789473695,28401
2020-07-10,253908,8.23578947368421,28403
2020-07-13,255953,10.447368421052632,28406
2020-07-14,256619,11.27157894736842,28409
2020-07-15,257494,12.428947368421053,28413
2020-07-16,258855,14.169473684210528,28416
2020-07-17,260255,16.357368421052634,28420
2020-07-20,264836,24.14842105263158,28422
2020-07-21,266194,26.290526315789474,28424
2020-07-22,267551,29.174736842105265,28426
2020-07-23,270166,32.59,28429
2020-07-24,272421,35.445789473684215,28432
2020-07-27,278782,43.83578947368421,28434
2020-07-28,280610,46.22789473684211,28436
2020-07-29,282641,48.224736842105266,28441
2020-07-30,285430,50.51105263157895,28443
2020-07-31,288522,53.55789473684211,28445
2020-08-03,297054,65.48736842105264,28472
2020-08-04,302814,69.97736842105263,28498
2020-08-05,305767,70.61578947368422,28499
2020-08-06,309855,72.69052631578947,28500
2020-08-07,314362,75.52473684210527,28503
2020-08-10,322980,85.77947368421053,28576
2020-08-11,326612,92.61684210526316,28581
2020-08-12,329784,97.46947368421053,28579
2020-08-13,337334,104.46578947368421,28605
2020-08-14,342813,109.6957894736842,28617
2020-08-17,359082,122.96105263157894,28646
2020-08-18,364196,128.4715789473684,28670
2020-08-19,370867,133.09842105263158,28797
2020-08-20,377906,139.41842105263157,28813
2020-08-21,386054,144.4678947368421,28838
2020-08-24,405436,158.4221052631579,28872
2020-08-25,412553,166.2178947368421,28924
2020-08-26,419849,171.38736842105263,28971
2020-08-27,429507,178.29999999999998,28996
2020-08-28,439286,183.12263157894736,29011
2020-08-31,462858,197.82210526315788,29094
2020-09-01,470973,205.8857894736842,29152
2020-09-02,479554,208.94,29194
2020-09-03,488513,209.68842105263158,29234
2020-09-04,498989,214.54894736842104,29418
2020-09-07,525549,226.82684210526315,29516
2020-09-08,534513,233.12052631578948,29594
2020-09-09,543379,234.10789473684213,29628
2020-09-10,554143,237.0421052631579,29699
2020-09-11,566326,245.14684210526315,29747
2020-09-14,593730,257.05,29848
2020-09-15,603167,263.0936842105263,30004
2020-09-16,614827,264.2763157894737,30243
2020-09-17,625651,267.1821052631579,30405
2020-09-18,640040,274.91526315789474,30495
2020-09-21,671468,288.77684210526314,30663
2020-09-22,682267,294.92368421052635,30904
2020-09-23,693556,297.8415789473684,31034
2020-09-24,705563,296.16473684210524,31118
2020-09-25,716481,298.4947368421052,31232
2020-09-28,748266,298.08263157894737,31411
2020-09-29,758172,301.4715789473684,31614
2020-09-30,769188,297.7315789473684,31791
2020-10-01,778607,294.5573684210526,31973
2020-10-02,789932,292.71789473684214,32086
2020-10-05,813412,274.1436842105263,32225
2020-10-06,825410,282.8921052631579,32486
2020-10-07,835901,273.99263157894734,32562
2020-10-08,848324,277.4015789473684,32688
2020-10-09,861112,281.3310526315789,32929
2020-10-12,888968,288.5242105263158,33124
2020-10-13,898292,295.53263157894736,33204
2020-10-14,908056,299.17157894736846,33413
2020-10-15,921374,306.48263157894735,33553
2020-10-16,936560,318.0342105263158,33775
2020-10-19,974449,361.94052631578944,33992
